name,mimeType,size,modifiedTime,webViewLink,word_count,num_urls,snippet,filepath_proxy
trun_f92ce0b9ccf1458685ef2c96c371a704.json,application/json,425214,2025-08-20T20:07:07.000Z,https://drive.google.com/file/d/1C8CtMEaExRRK9Ph0rVcNazpRW_Bi3Siz/view?usp=drivesdk,3251,57,Collect all the notes of DHH & Jason Fried (both from basecamp)i ever - everywhere from the internet with following columns - Topic - Name - Content Text - 1 liner summary - Date of publish - URL - Engagement - Type of content - be it video or whatever and whatever other info that you might deem imp,https://drive.google.com/file/d/1C8CtMEaExRRK9Ph0rVcNazpRW_Bi3Siz/view?usp=drivesdk
trun_f92ce0b9ccf14586b67676d6d94d7362.json,application/json,238515,2025-08-20T20:06:54.000Z,https://drive.google.com/file/d/1LSRi2lpZ1nsPryf4O4fmPLOtZJ1tcpZJ/view?usp=drivesdk,3894,2,"Research Briefing & Objective:  You are a lead researcher and content strategist for an educational platform focused on mental models, risk, and practical philosophy. Your mission is to build a comprehensive, structured knowledge base of the core concepts, aphorisms, and mental models from the work",https://drive.google.com/file/d/1LSRi2lpZ1nsPryf4O4fmPLOtZJ1tcpZJ/view?usp=drivesdk
trun_f92ce0b9ccf14586afada492fcd8d658.json,application/json,18633,2025-08-20T20:06:41.000Z,https://drive.google.com/file/d/1gbrim1ghvZq7j8zKBNLdp3cg6cKc6Y6h/view?usp=drivesdk,2034,10,"Research Briefing & Objective:  You are a Senior Staff Engineer and technical author building a definitive visual knowledge base called ""The Architect's Playbook."" Your mission is to curate a library of the most insightful and well-designed diagrams, images, and visual explanations related to softwa",https://drive.google.com/file/d/1gbrim1ghvZq7j8zKBNLdp3cg6cKc6Y6h/view?usp=drivesdk
trun_f92ce0b9ccf14586858c7f9a1b1c4e31(1).json,application/json,181049,2025-08-20T20:06:33.000Z,https://drive.google.com/file/d/1IR13zWxLnDKkRukE5XzBV4TrqVbExz3s/view?usp=drivesdk,3430,27,"Of course. Here is a prompt tailored to find and catalog underrated but viral images that explain mental models.  This prompt is designed to help the AI distinguish between common, overused visuals and the kind of unique, insightful diagrams that gain traction in niche intellectual communities.  Und",https://drive.google.com/file/d/1IR13zWxLnDKkRukE5XzBV4TrqVbExz3s/view?usp=drivesdk
trun_f92ce0b9ccf145868312b54196c93066.json,application/json,526717,2025-08-20T20:06:11.000Z,https://drive.google.com/file/d/1bCIi3zF17wKR5mRyYa834MmCjjZKy594/view?usp=drivesdk,3831,9,Therapeutic Texts & Cognitive Re-framing Database Prompt Research Briefing & Objective:  You are a Lead Researcher and Content Developer for a cutting-edge mental wellness app. Your mission is to create a comprehensive and structured repository of therapeutic texts designed for deep subconscious hea,https://drive.google.com/file/d/1bCIi3zF17wKR5mRyYa834MmCjjZKy594/view?usp=drivesdk
trun_f92ce0b9ccf14586b5f5c6afe0dd8945.json,application/json,999781,2025-08-20T20:06:02.000Z,https://drive.google.com/file/d/1MKpk9ocBaPhfXkjAlr71gx91Iq9NtHSN/view?usp=drivesdk,3517,0,"Underrated Viral Tweets Analysis Prompt Research Briefing & Objective:  You are a Digital Anthropologist and Content Strategist studying the anatomy of insightful viral thoughts on social media. Your mission is to curate a database of ""underrated viral tweets""—profound and shareable ideas that achie",https://drive.google.com/file/d/1MKpk9ocBaPhfXkjAlr71gx91Iq9NtHSN/view?usp=drivesdk
trun_f92ce0b9ccf1458688f3b22f0aca35d5.json,application/json,347192,2025-08-20T20:05:50.000Z,https://drive.google.com/file/d/1DzwCge5fCVOp5Rez72whCCdWG-0m2nqI/view?usp=drivesdk,3371,40,Engaging Math Videos for Kids (Ages 6-16) Prompt Research Briefing & Objective:  You are a Lead Content Curator for a new global EdTech platform designed to make math fun and accessible for children. Your mission is to build a foundational library of the most engaging and effective math videos avail,https://drive.google.com/file/d/1DzwCge5fCVOp5Rez72whCCdWG-0m2nqI/view?usp=drivesdk
trun_f92ce0b9ccf14586bc02b7d9ef19971d.json,application/json,847880,2025-08-20T20:02:12.000Z,https://drive.google.com/file/d/1qEJV8zWWi6m6m9UO0B6BOTmQpsEXBHqX/view?usp=drivesdk,2672,50,"Top Used Open Source Repositories & Tools Prompt Research Briefing & Objective:  You are a Technology Strategist for a global investment fund, tasked with creating a definitive report on the foundational open-source projects that form the backbone of the modern software development ecosystem. Your m",https://drive.google.com/file/d/1qEJV8zWWi6m6m9UO0B6BOTmQpsEXBHqX/view?usp=drivesdk
trun_f92ce0b9ccf14586aa356591292c19b9.json,application/json,521906,2025-08-20T20:01:34.000Z,https://drive.google.com/file/d/1gRRQ6w4ITrWZU2y9Hw6EnatYxyJvGFKA/view?usp=drivesdk,2955,21,"Get me the active education or book related live torrents  - the top 2000 ones - their links trackers context topic - size - seeds and so on whatever you think is important - think of megamind techie trying to learn about the world This project aims to compile a comprehensive, ranked list of the top",https://drive.google.com/file/d/1gRRQ6w4ITrWZU2y9Hw6EnatYxyJvGFKA/view?usp=drivesdk
trun_f92ce0b9ccf14586858c7f9a1b1c4e31.json,application/json,181049,2025-08-20T19:12:18.000Z,https://drive.google.com/file/d/1PXE-Oar_d5IKNGRRjtj0A1U4EkyRFnTy/view?usp=drivesdk,3430,27,"Of course. Here is a prompt tailored to find and catalog underrated but viral images that explain mental models.  This prompt is designed to help the AI distinguish between common, overused visuals and the kind of unique, insightful diagrams that gain traction in niche intellectual communities.  Und",https://drive.google.com/file/d/1PXE-Oar_d5IKNGRRjtj0A1U4EkyRFnTy/view?usp=drivesdk
trun_70bcb8fb9a064d2e99111ed03f375fd1.json,application/json,890669,2025-08-20T19:54:46.000Z,https://drive.google.com/file/d/11hYOIIFx9ZyNHvafR_caBoPajwy1Qo5s/view?usp=drivesdk,3259,61,"**Research Briefing & Objective:**  You are a strategic intelligence agent. Your mission is to conduct a deep analysis of the world's most significant commercial open-source software (COSS) companies. The final output will be a dossier used by a client for evaluating investment, acquisition, and str",https://drive.google.com/file/d/11hYOIIFx9ZyNHvafR_caBoPajwy1Qo5s/view?usp=drivesdk
trun_70bcb8fb9a064d2e9e484c16bcecf5a1.json,application/json,467900,2025-08-20T19:54:35.000Z,https://drive.google.com/file/d/1hryJqtDJOeCMAMbMnA17t4Sf-VYzNDKN/view?usp=drivesdk,3669,19,"Research Briefing & Objective:  You are a Head of Content for a major wellness and self-development brand. Your mission is to build a foundational database of powerful, one-line affirmations that will serve as the core of our content pipeline for the next quarter.  Phase 1: Author Identification  Yo",https://drive.google.com/file/d/1hryJqtDJOeCMAMbMnA17t4Sf-VYzNDKN/view?usp=drivesdk
